OntoClass,OntoProperty,AntMin,AntMax,DataMin,DataMax,Mean,Mode,Quad. Mean,Kurtosis,Std. Deviation,Skewness,Variance,98P,2P,75P,25P,"Dist, Card.",Dist. Mean.,Dist. Quad. Mean.,Dist. Kur.,Dist. Std. Devi.,Dist. Skew.,Dist. Vari.,P. Min.,P. Max.,P. Mode.,P. 0,P.1,P. Mean,P. Quad. Mean.,P. Kurtosis.,P. Std. Dev.,P. Skew.,P. Vari.
dbo:Food,rdfs:comment,M0,M1,0,1,0.99824,1,0.99912,565.99295,0.04192,-23.81171,0.00176,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00176,0.99824,0.99824,0.00176,0.99824,0.5,0.70586,0,0.70462,0,0.49649
dbo:Food,dbo:abstract,M1,M1,0,1,0.99824,1,0.99912,565.99295,0.04192,-23.81171,0.00176,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00176,0.99824,0.99824,0.00176,0.99824,0.5,0.70586,0,0.70462,0,0.49649
dbo:Food,dbo:thumbnail,M0,M1,0,1,0.80827,1,0.89904,0.4601,0.39384,-1.56821,0.15511,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.19173,0.80827,0.80827,0.19173,0.80827,0.5,0.58739,0,0.43596,0,0.19006
dbo:Food,foaf:depiction,,,0,1,0.80827,1,0.89904,0.4601,0.39384,-1.56821,0.15511,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.19173,0.80827,0.80827,0.19173,0.80827,0.5,0.58739,0,0.43596,0,0.19006
dbo:Food,dbo:origin,,,0,3,0.52946,0,0.93688,1.12329,0.77327,1.36614,0.59794,3,0,1,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.02551,0.61917,0.61917,0.61917,0.2577,0.25,0.3391,1.23546,0.26455,1.27687,0.06999
dbo:Food,foaf:name,,,0,2,0.47405,0,0.70742,-1.25045,0.52531,0.37743,0.27595,1,0,1,0,3,1,1.29099,0,1,0,1,0.01319,0.53914,0.53914,0.53914,0.44767,0.33333,0.40466,0,0.281,-1.52787,0.07896
dbo:Food,dbp:nombre,,,0,8,0.39842,0,0.72096,22.79002,0.60114,2.72148,0.36137,2,0,1,0,5,2.8,3.94968,2.6751,3.11448,1.54913,9.7,0.00088,0.6394,0.6394,0.6394,0.33245,0.2,0.32246,0.13103,0.2828,1.22002,0.07998
dbo:Food,dbo:type,,,0,4,0.39314,0,0.64771,1.14713,0.51498,0.92071,0.2652,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0.00088,0.61653,0.61653,0.61653,0.37643,0.2,0.32306,-1.116,0.28366,0.99657,0.08046
dbo:Food,dbo:wikiPageID,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
dbo:Food,dbo:wikiPageRevisionID,M0,M1,0,1,0.37115,0,0.60922,-1.71775,0.48333,0.53411,0.2336,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.37115,0.62885,0.62885,0.62885,0.37115,0.5,0.51633,0,0.18222,0,0.0332
