"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,10,0.14333,0,0.48234,63.01674,0.46057,5.86667,0.21213,1,0,0,0,11,5,5.91608,-1.2,3.31662,0,11,7e-05,0.88078,0.88078,0.88078,0.10478,0.09091,0.26746,10.58896,0.26381,3.23782,0.0696
"M0",0,10,0.81902,1,0.93542,0.82874,0.45189,-0.67955,0.20421,2,0,1,1,7,3.57143,4.70562,2.08777,3.30944,1.30063,10.95238,0,0.76336,0.76336,0.20885,0.76336,0.14286,0.29931,5.35383,0.28409,2.30002,0.08071
"M0",0,5,0.4799,0,0.73665,0.01372,0.55889,0.69516,0.31236,2,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,7e-05,0.54968,0.54968,0.54968,0.42218,0.16667,0.28317,-1.21336,0.25078,1.07191,0.06289
"M0",0,3,0.09142,0,0.34049,21.0237,0.32807,4.16806,0.10763,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.00204,0.91879,0.91879,0.91879,0.07303,0.25,0.46086,3.88912,0.44705,1.9688,0.19985
"M0",0,152,0.3784,0,1.28597,895.61865,1.22904,19.55323,1.51053,3,0,0,0,74,39.45946,48.07595,2.3926,27.65105,1.08833,764.58053,0,0.78344,0.78344,0.78344,0.12859,0.01351,0.09256,69.23867,0.0922,8.22507,0.0085
"M0",0,12,0.31442,0,0.64521,15.294,0.56342,2.55203,0.31744,2,0,1,0,11,5.36364,6.52965,-0.73368,3.90571,0.41655,15.25455,2e-05,0.72069,0.72069,0.72069,0.25386,0.09091,0.23046,7.77901,0.22211,2.76509,0.04933
"M0",0,950,36.91685,12,62.97684,41.07529,51.02356,5.11352,2603.40348,195,4,39,13,362,207.00829,257.13183,1.90624,152.73765,1.15338,23328.7894,7e-05,0.03298,0.03298,0.00571,0.00054,0.00276,0.00711,9.83385,0.00656,3.20869,4e-05
"M0",0,6,0.20532,0,0.45572,0.67876,0.40685,1.52305,0.16553,1,0,0,0,5,2.4,3.16228,1.12852,2.30217,1.03266,5.3,1e-05,0.7958,0.7958,0.7958,0.20312,0.2,0.3673,3.61396,0.34444,1.91311,0.11864
"M0",0,405,0.95501,0,6.85218,513.32867,6.78534,18.15156,46.04081,10,0,0,0,166,93.22289,115.28511,2.5906,68.02962,1.22192,4628.02881,1e-05,0.89628,0.89628,0.89628,0.00347,0.00602,0.06967,164.99936,0.06962,12.82782,0.00485
"M0",0,99,0.49677,0,1.87374,198.20994,1.8067,8.76736,3.26417,6,0,0,0,45,24.86667,31.31595,3.76291,19.25027,1.50049,370.57273,1e-05,0.86462,0.86462,0.86462,0.04864,0.02222,0.12918,44.61172,0.12869,6.66684,0.01656
"M0",0,51,0.75112,1,0.97532,246.49509,0.62216,4.69223,0.38708,2,0,1,0,21,11.7619,15.90298,7.90462,10.9677,2.38375,120.29048,0,0.63543,0.63543,0.31422,0.63543,0.04762,0.15495,12.6285,0.1511,3.52712,0.02283
