"AntMin","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,110,0.50028,0,2.13653,308.03255,2.07714,12.05475,4.3145,6,0,0,0,57,32.42105,40.64351,1.16912,24.72849,1.11358,611.49812,1e-05,0.87733,0.87733,0.87733,0.00814,0.01754,0.11645,56.52219,0.11615,7.5045,0.01349
"M0",0,1,0.76408,1,0.87412,-0.45248,0.42457,-1.24399,0.18026,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.23592,0.76408,0.76408,0.23592,0.76408,0.5,0.56545,0,0.37347,0,0.13948
"M0",0,30,0.80309,0,1.41761,35.06026,1.16819,4.23766,1.36467,4,0,1,0,25,12.44,14.78242,-0.61225,8.15005,0.34624,66.42333,0,0.46326,0.46326,0.46326,0.3894,0.04,0.12276,9.3791,0.11845,3.20022,0.01403
"M0",0,233,0.35287,0,2.14054,1802.55843,2.11127,25.2594,4.45744,6,0,0,0,58,37.36207,52.67712,12.29209,37.45861,2.86671,1403.14731,1e-05,0.92454,0.92454,0.92454,0.02666,0.01724,0.12147,57.87605,0.12129,7.60395,0.01471
"M0",0,196,1.52808,0,3.14729,552.42107,2.75146,12.8706,7.57055,8,0,2,0,55,33.09091,45.63013,12.32605,31.70774,2.87846,1005.38047,2e-05,0.42489,0.42489,0.42489,0.22529,0.01818,0.06932,26.2573,0.06751,4.90833,0.00456
"M0",0,110,5.91583,4,8.1278,27.95941,5.57356,3.97109,31.06462,23,0,7,3,83,42.20482,49.51828,-0.77602,26.05752,0.24382,678.99412,2e-05,0.25013,0.25013,0.07127,0.00157,0.01205,0.0405,23.63537,0.0389,4.6803,0.00151
"M0",0,9,1.40379,0,2.30849,-1.05353,1.83263,0.74501,3.35853,5,0,3,0,10,4.5,5.33854,-1.2,3.02765,0,9.16667,0,0.60263,0.60263,0.60263,0.00331,0.1,0.20236,7.53283,0.18544,2.66136,0.03439
"M0",0,1,0.0761,0,0.27586,8.24741,0.26522,3.19984,0.07034,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.0761,0.9239,0.9239,0.9239,0.0761,0.5,0.65551,0,0.59949,0,0.35939
"M0",0,4,0.28706,0,0.54297,-0.3,0.46088,1.08204,0.21241,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,3e-05,0.71649,0.71649,0.71649,0.28026,0.2,0.34407,1.88336,0.31301,1.55809,0.09798
"M0",0,541,2.70505,0,16.37736,193.71719,16.1525,11.56718,260.90315,39,0,0,0,285,157.26667,192.19687,1.01097,110.67889,0.95657,12249.81596,1e-05,0.8828,0.8828,0.8828,0.01942,0.00351,0.05232,284.44199,0.05229,16.85748,0.00273
"M0",0,21,0.77617,1,0.96102,16.56555,0.56667,1.07814,0.32111,2,0,1,0,10,5.7,8.03119,5.42991,5.96378,2.11587,35.56667,1e-05,0.67838,0.67838,0.27916,0.67838,0.1,0.23222,6.0709,0.22092,2.47572,0.04881
"M0",0,1,0.78755,1,0.88744,-0.02319,0.40904,-1.40599,0.16732,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.21245,0.78755,0.78755,0.21245,0.78755,0.5,0.57679,0,0.40666,0,0.16537
"M0",0,511,1.56953,1,3.11403,2149.57678,2.68956,25.95761,7.23375,7,0,2,1,166,95.13253,122.84386,6.34419,77.95527,2.00118,6077.02475,0,0.45115,0.45115,0.20629,0.45115,0.00602,0.0419,85.61302,0.04159,8.82342,0.00173
"M0",0,6,0.38145,0,0.89927,4.18893,0.81437,2.1902,0.66319,3,0,0,0,7,3,3.60555,-1.2,2.16025,0,4.66667,6e-05,0.78343,0.78343,0.78343,0.09439,0.14286,0.30023,6.56942,0.28522,2.54161,0.08135
"M0",0,541,2.70505,0,16.37736,193.71719,16.1525,11.56718,260.90315,39,0,0,0,285,157.26667,192.19687,1.01097,110.67889,0.95657,12249.81596,1e-05,0.8828,0.8828,0.8828,0.01942,0.00351,0.05232,284.44199,0.05229,16.85748,0.00273
"M0",0,15,0.97304,0,1.39288,-1.95624,0.99664,0.05952,0.9933,2,0,2,0,8,4.5,6.2849,4.14215,4.69042,1.86066,22,0,0.50994,0.50994,0.50994,0.00741,0.125,0.24821,0.028,0.22924,1.44407,0.05255
"M0",0,1654,56.06639,12,101.54941,94.58075,84.69064,6.93109,7172.50453,310.46,2,67,13,254,166.4252,238.61106,29.07778,171.3285,4.18688,29353.45486,0.00051,0.03115,0.03115,0.01532,0.00051,0.00394,0.00711,5.9399,0.00594,2.50229,4e-05
"M0",0,176,3.86466,0,8.39996,180.61272,7.46003,10.08007,55.65209,21,0,5,0,43,28.65116,42.52277,11.25978,31.79314,2.97906,1010.80399,0.00051,0.28141,0.28141,0.28141,0.16956,0.02326,0.05757,13.81746,0.05329,3.50678,0.00284
"M0",0,79,0.36593,0,0.76844,2277.11886,0.67572,26.31352,0.4566,1,0,1,0,25,17.6,24.63981,5.09961,17.59972,1.96931,309.75,1e-05,0.65807,0.65807,0.65807,0.328,0.04,0.14707,15.37939,0.14445,3.88566,0.02086
"M0",0,8,0.40709,0,0.72837,6.25361,0.60399,1.78968,0.36481,2,0,1,0,9,4,4.76095,-1.2,2.73861,0,7.5,2e-05,0.63932,0.63932,0.63932,0.3251,0.11111,0.23926,3.91658,0.22475,2.10402,0.05051
"M0",0,176,3.86466,0,8.39996,180.61272,7.46003,10.08007,55.65209,21,0,5,0,43,28.65116,42.52277,11.25978,31.79314,2.97906,1010.80399,0.00051,0.28141,0.28141,0.28141,0.16956,0.02326,0.05757,13.81746,0.05329,3.50678,0.00284
"M0",0,494,0.83313,0,10.63296,568.24706,10.60032,21.61626,112.36677,5,0,0,0,246,145.15041,177.05315,0.0565,101.59297,0.68614,10321.13239,1e-05,0.96487,0.96487,0.96487,0.00071,0.00407,0.06152,245.95782,0.06151,15.68238,0.00378
"M0",0,110,0.50028,0,2.13653,308.03255,2.07714,12.05475,4.3145,6,0,0,0,57,32.42105,40.64351,1.16912,24.72849,1.11358,611.49812,1e-05,0.87733,0.87733,0.87733,0.00814,0.01754,0.11645,56.52219,0.11615,7.5045,0.01349
"M0",0,514,2.27567,1,4.57777,2970.4626,3.97208,33.12453,15.77741,10,1,2,1,99,63.82828,97.11198,18.15673,73.56186,3.78648,5411.34776,1e-05,0.53266,0.53266,0.01877,0.53266,0.0101,0.05869,69.27885,0.0581,8.00519,0.00338
"M0",0,588,0.801,0,11.67115,727.40792,11.64368,24.89246,135.5754,6,0,0,0,235,165.99574,207.51155,-0.19638,124.79071,0.69829,15572.7222,1e-05,0.97067,0.97067,0.97067,0.00018,0.00426,0.06332,234.98139,0.06331,15.3288,0.00401
"M0",0,192,0.61473,0,2.68814,516.77659,2.61691,14.11969,6.84821,9,0,0,0,81,47.67901,61.32025,2.68061,38.8004,1.49231,1505.47068,0,0.86959,0.86959,0.86959,0.03596,0.01235,0.09677,80.51707,0.09658,8.96098,0.00933
